place_key,source_cid,lang,kind,category,name,summary,description,road_address,latitude,longitude,hours,fee,tags,homepage_url,start_date,end_date
bnvhzx,ENPbnvhzx,en,event,Festivals/Events/Performances > Events > Exhibitions,Hohojae Seoul,A Hanok Gallery that introduces contemporary Korean artists.,"Hohojae is a H anok G allery where the space and the artworks harmonize beautifully. Though the name uses the Chinese character ho (蝴) meaning butterfly, it also reflects the desire to create a place that brings a smile, like a cheerful “hoho” laugh. The exhibitions mainly feature works that are easy for the public to relate to. On the first floor, there is a cozy yard and a small flower bed, while the second floor offers a view of hanok rooftops in Palpan-dong through large windows, allowing visitors to fully enjoy the beauty of traditional Korean aesthetics.","71-7 Samcheong-ro, Jongno-gu, Seoul",37.5821003632233,126.981153090219,Tuesday–Sunday 11:00–19:00,,"Hanok Gallery,  Samcheong-dong Exhibition,  Korean Artists,  Gallery Tour, Hohojae Gallery,  Seoul Gallery,  Seoul Exhibition",https://www.hohojae.com/home,,
040219,ENP040219,en,event,Festivals/Events/Performances > Events > Exhibitions,Project Hashtag 2021,An exhibition that leaves behind the traditional visually focused forms of art and experiments with new platforms and creations produced through collaboration amongst different mediums.,"Project Hashtag, hosted by the National Museum of Modern and Contemporary Art, Korea and Hyundai Motors, is an exhibition that leaves behind the traditional visually focused forms of art and experiments with new platforms and creations produced through collaboration amongst different mediums. This is to show how, through the use of hashtags, random and unrelated texts and media can be woven into one common theme. Visitors can see the creations from the two selected teams at Project Hashtag 2021- After New Order... and The Duck Among Us. This exhibition focuses on the human experience of life on the internet and how humanity shapes the environment of the web. It also looks at the expansion and distortion of human values that occurs in virtual spaces and how it has changed since after the pandemic began. Exhibition photos and information provided by: National Museum of Modern and Contemporary Art, Korea","30, Samcheong-ro, Jongno-gu, Seoul",37.5786280284849,126.980087994867,"10:00 - 21:00 (Wednesday, Saturday)
10:00 - 18:00 (Monday, Tuesday, Thursday, Friday, Sunday)",Free,"ProjectHashTag2021, SeoulNationalMuseumOfModernAndContemporaryArt, SeoulIndoorDate, SeoulExhibitionDate, SeoulExhibition, IndoorTripsInSeoul, SeoulArtExhibition, SeoulExhibitionRecommendation",http://www.mmca.go.kr/eng/,,
038489,ENP038489,en,event,Festivals/Events/Performances > Events > Exhibitions,Embroidery in Bloom,An exhibition presenting information on embroidery techniques and patterns that embody the hearts of women who embroidered every nook and cranny of everyday life.,"Embroidery in Bloom, a permanent exhibition at the Seoul Craft Museum, illuminates on the embroidery screens selected from the collections of Dong-Hwa Heo and Young-Sook Park of the Seoul Craft Museum. This exhibition presents information on embroidery techniques and patterns that embody the hearts of women who embroidered every nook and cranny of everyday life. Embroidery is one of the oldest and most recognized mediums of craft that can effectively express stories in daily life. Visitors will be able to freely view patterns and art from across time.","4, Yulgok-ro 3-gil, Jongno-gu, Seoul",37.5766481740232,126.983533363501,"10:00 ~ 18:00 (Last admission at 17:30)
Fri 10:00 ~ 21:00.",,"SeoulIndoorDateRecommendation, Seoul, EmbroideryExhibition, SeoulAttractions, SeoulCraftMuseum, CraftHistory, RainyDay, SeoulPermanentExhibition, ExhibitionDate, TextileCraft, MuseumDate, EmbroideryInBloom, SeoulIndoorFun, SeoulExhibitionRecommendation",https://craftmuseum.seoul.go.kr/exhibit/plan/view/31,,
038487,ENP038487,en,event,Festivals/Events/Performances > Events > Exhibitions,Artisans: Making the Better World,An exhibition presenting the stories of crafts and craftsmanship throughout history.,"Artisans: Making the Better World, is an exhibition presenting the stories of crafts and craftsmanship throughout history. It is being held as a permanent exhibition at the Seoul Craft Museum. The history of crafts has developed along with the history of mankind. Humankind has overcome the limitations of the environment by inventing tools and developing technologies to process natural materials such as stone, soil, and wood, and has laid the foundation for civilization by making everyday life both convenient and beautiful. With the hands of artisans, ore was reborn into craft metals, soil into earthenware and pottery, and wood into lacquerware.","4, Yulgok-ro 3-gil, Jongno-gu, Seoul",37.5766481740232,126.983533363501,"10:00 ~ 18:00 (Last admission at 17:30)
Fri 10:00 ~ 21:00.",,"SeoulPermanentExhibition, SeoulMuseumTour, MuseumDate, SeoulExhibitionRecommendation, ArtisansMakingTheBetterWorld, MuseumPermanentExhibition, RainyDay, FamiliesWithChildren, CraftHistory, IndoorDate, SeoulCraftMuseum",https://craftmuseum.seoul.go.kr/exhibit/plan/view/51,,
8kwn54,ENP8kwn54,en,event,Culture > Performance Halls,Arko Kkumbat Theater,A children-centered theater.,"The name 'Kkumbat' (Dream Field), decided by public vote, means a place where children's dreams grow. The steering committee improved the seating, dressing rooms, and performance halls through Kkumbat Funding, and it is a children-centered theater in Korea that promotes the development of children's and youth performances.","46 Daehak-ro 12-gil, Jongno-gu, Seoul",37.5820571199944,127.00371635053,,Varies by performance,"Arko Kkumbat Theater,  Children's Theater,  Children's Play,  Seoul Theater,  Seoul Play",https://theater.arko.or.kr/home/ko/main,,
aacet0,ENPaacet0,en,event,Culture > Performance Halls,MCKITHAN HOTEL,"A dedicated performance theater for <Sleep No More> Seoul located in Pil-dong, Jung-gu, Seoul.","Built on the former site of Daehan Theater, the MCKITHAN HOTEL is an exclusive theater for the immersive performance <Sleep No More>, a sensuous and cinematic reinterpretation of Shakespeare’s tragedy Macbeth.","212 Toegye-ro, Jung-gu, Seoul (Pil-dong 2-ga, MCKITTRICK HOTEL)",37.5610812887193,126.995356373816,"Wednesday, Thursday, Friday 19:00
Saturday 14:00, 19:00
Sunday 15:00","Guest 190,000 KRW
Ruby’s Guest 230,000 KRW
Maximilian’s Circle 360,000 KRW","Sleep No More,  MCKITHAN HOTEL,  Musical,  Theater,  Non-verbal Performance,  Recommended Performance for Foreign Visitors,  Chungmuro Station",https://mckithanhotel.com,,
jy51fz,ENPjy51fz,en,event,Culture > Performance Halls,LG Arts Center Seoul,A performance hall that introduces the flow of contemporary performing arts and engages with both artists and audiences of our time,"LG Arts Center Seoul is a non-profit performance venue operated with the mission of “returning corporate profits to society through the creation and exchange of culture and the arts.” As a multi-complex cultural and artistic space, it presents high-quality performances from Korea and abroad across a wide range of genres, including theater, dance, classical music, and jazz. Newly established in the Magok district, the venue is equipped with state-of-the-art stage facilities and has gained recognition as a landmark destination for performing arts in Seoul.","136 Magokjungang-ro, Gangseo-gu, Seoul",37.5653629860767,126.829388763217,Daily 10:00–23:00,,"LG Arts Center Seoul,  Seoul performance venue,  multi-complex cultural and artistic space,  theater,  dance,  classical music,  jazz,  performance,  Magok performance hall",https://www.lgart.com/home/ko/main,,
3fknzc,ENP3fknzc,en,event,Culture > Performance Halls,BLUE SQUARE,A must-visit performance venue for musical fans,"BLUE SQUARE is Korea’s largest performing arts complex offering artists a dream stage and audiences unforgettable experiences. It houses the 1,766-seat Shinhan Card Hall, dedicated to musicals, and the SOL Travel Hall, a multipurpose venue with 1,379 seats (plus a standing area that can accommodate 2,800 people). Tickets can be easily booked via the Interpark website. In addition to performances, BLUE SQUARE also features NEMO, a trendy exhibition space; Book Park Lounge, a premium cultural space featuring a café with reading areas; Café Philos, offering a striking unobstructed view of Namsan Mountain; Stage B, a fine-dining restaurant ideal for savoring a glass of wine after a show; and Solos Kitchen, specializing in Asian cuisine.","294, Itaewon-ro, Yongsan-gu, Seoul",37.5408694385607,127.00248525561,,,"BLUE SQUARE, musicals, performance venue, exhibitions, international shows in Korea, performances, shows, Book Park Lounge, Café Philos, Stage B, Solos Kitchen",www.bluesquare.kr,,
up1c05,ENPup1c05,en,event,Culture > Performance Halls,National Jeongdong Theater Cecil,"The National Jeongdong Theater of Korea, Cecil, operates a 232-seat performance hall.","The National Jeongdong Theater of Korea, Cecil, is a historic performance hall in Jung-gu, Seoul. Originally opened in 1976 as Cecil Theater, it’s a small yet iconic venue with a capacity of 232 seats. During the late 1970s, it became the heart of Korea's theater scene, hosting the Korea Theater Festival from 1977 to 1980. Despite its prominence, financial difficulties led to its closure in 2018 after being operated by private theater groups 'Madan' and 'Rodem.' In April 2018, the Seoul Metropolitan Government spearheaded a cultural regeneration project to reopen Cecil Theater and handed its management to a non-profit organization. Designed by renowned architect Kim Joong-up, the theater has long been a cornerstone of Korean performing arts and cultural heritage. In 2022, the theater was revitalized under the management of the National Jeongdong Theater, taking on the new name 'National Jeongdong Theater of Korea, Cecil.' Today, it serves as a vibrant space for artists and audiences to connect through innovative and experimental performances, upholding its legacy and creative core values.","16, Sejong-daero 19-gil, Jung-gu, Seoul",37.5667226186081,126.976533023711,"Customer Support Office: Monday to Friday, 09:00 to 18:00",,"JeongdongTheaterCecil, JeongdongTheater, Cecil, CityHall, CityHallStation, Jeongdong",https://www.jeongdong.or.kr/portal/main/contents.do?menuNo=200109,,
028334,ENP028334,en,event,Culture > Performance Halls,CGV Cine Library,CGV Cine Library is the first cinema library and art house to exist in Korea.,"CGV Cine Library is the first cinema library and art house to exist in Korea. Possessing over 10,000 books on various movies, it’s a place where people can come to read, discuss, and share their love of movies and cinema.","123, Toegye-ro, Jung-gu, Seoul",37.56126607811881,126.98536328312971,12:00 ~ 21:00,,"Theater, MyeongdongStation, Leisure, Myeongdong, ArtHouse, Film, Books, CGVCineLibrary, Library, Cinema, CulturalSpace, Rest, MovieTheater",https://cgv.co.kr/cnm/bzplcCgv/0105001,,
024710,ENP024710,en,event,Culture > Performance Halls,Jeongdong Maru,Unique Venues and it is located in the middle of Seoul down town; Jeongdong-gil in where cultural heritages from Korea’s modern society are located.,"Unique Venues and it is located in the middle of Seoul down town; Jeongdong-gil in where cultural heritages from Korea’s modern society are located. Jeongdong Maru is a cultural space for various events such as house concert, seminar, business events and promotional events etc.","43, Jeongdong-gil, Jung-gu, Seoul",37.5659346275,126.9728436419,,,"TigerBus, Deoksugung, CityTourBus, JeongdongMaru, Palace, Seoul, SkyBus",https://www.jeongdong.or.kr/portal/main/main.do,,
024596,ENP024596,en,event,Culture > Performance Halls,Seoul Donhwamun Traditional Theater,Seoul Donhwamun Traditional Theater is one of the nation's top-notch performance stages specializing in acoustic sound traditional music.,"The Seoul Donhwamun Traditional Theater, named after Donhwamun, the iconic gate of Changdeokgung Palace, is a premier venue for experiencing the finest Korean traditional music. It is located next to Changdeokgung Palace, a UNESCO World Heritage site, and the grand and refined Jongmyo Shrine, making it a specialized performance hall for Gugak.","102, Yulgok-ro, Jongno-gu, Seoul",37.5772791094,126.9906717932,,,"CityTourBusStation, SeoulCityTourBus, SkyBus, TigerBus, ChanggyeonggungPalace, AngukStation, TraditionalTheater, Donhwamun, Seoul, JongmyoShrine",https://www.sgtt.kr/,,
001478,ENP001478,en,event,Culture > Performance Halls,LATT Children’s Theater,LATT Children’s Theater is the only English-language children's theater in Korea.,"LATT Children’s Theater is the only English-language children's theater in Korea. Located in Dogok-dong, the theater is a cultural complex for children that also offers a fun way to learn English. Because the stage is right in front of the theater's seats, the arrangement feels familiar and friendly. In addition to performances, the theater hosts children's workshops on in which children can learn how to create English plays.","164, Nonhyeon-ro, Gangnam-gu, Seoul",37.4842885547,127.0423137947,Daily 10:00 - 17:00,,"PerformingArts, YangjaeStation, Theater, LATTChildrensTheater, Culture, Family, ChildrensTheater, LivePerformances, MaebongStation",,,
001747,ENP001747,en,event,Culture > Performance Halls,Theater Sanwoollim,"Cultural capital of Korea, famous for Waiting for Godot","Founded in 1969, the theater company has grown to become one of Korea's leading theater companies, starting with the Korean premiere of Samuel Beckett's <Waiting for Godot>, and in 1985, it opened its own theater, the Small Theater Sanulim. The company has written a new history of contemporary theater by staging numerous works, including classical plays as well as experimental contemporary plays. It is the birthplace of women's plays that resonated with society, such as <Woman in Crisis> and <My Mother Found the Sea at Fifty>. The theater also operates a gallery and art shop called 'Sanwoollim Art & Craft' on the first floor.","157 Wausan-ro, Mapo-gu, Seoul",37.555062,126.930081,10:00~22:00,,"performance,  viewing,  Hongdae, OraeGage,  Mapo,  Seogyo-dong,  cultural life, small theater,  play",www.sanwoollim.kr,,
001780,ENP001780,en,event,Culture > Performance Halls,Folk Theater Pungryu,The Folk Theater Pungryu is dedicated to traditional Korean performance arts.,The Folk Theater Pungryu is dedicated to traditional Korean performance arts. The theater features traditional design elements and is located within the Training Center for Important Intangible Cultural Properties. Visitors can enjoy many different performances of traditional dance and music at the Folk Theater Pungryu.,"406, Bongeunsa-ro, Gangnam-gu, Seoul",37.510092529400936,127.04462664692792,,,"Tradition, TraditionalMusic, Performance, LivePerformance, TraditionalPerformanceArts, Folk, TraditionalDance, FolkTheaterPungryu, SeolleungStation, Culture",https://www.kh.or.kr/cms/content/view/274,,
003399,ENP003399,en,event,Culture > Performance Halls,Geumhyeon Gugak Center,"The Geumhyeon Gugak Center was established in 1985 as an educational institute for gugak, traditional Korean music","The Geumhyeon Gugak Center was established in 1985 as an educational institute for gugak, traditional Korean music. The center's founder, Won Jang-Hyeon is a renowned musician in his own right. The center operates classes on Korean culture and for a range of traditional instruments such as gayageum, danso, geomungo, daegeum, haegeum and the taepyeongso.","27, Yunboseon-gil, Jongno-gu, Seoul",37.577278,126.983732,Open daily,,"TraditionalKoreanMusic, Music, GeumhyeonGugakCenter, Gugak, AngukStation, Culture, Performance, Gayageum",,,
001421,ENP001421,en,event,Culture > Performance Halls,Jeongdong Theater,Jeongdong Theater champions both traditional and new Korean performing arts.,"Operating under the Ministry of Culture, Sports and Tourism, Jeongdong Theater is a public theatre where traditional dance, music, and plays are performed. Following restoration work, the theater was restored and renamed Jeongdong Theater. The theater stands two stories tall and has three underground floors. Various events take place at the theater, from special exhibitions featuring masters of traditional arts, to exhibitions of young artists. A program called ""One Day Culture Tour"" is offered by Jeongdong Theater for students.","43, Jeongdong-gil, Jung-gu, Seoul, Korea",37.56593462746009,126.97284364189916,Daily 09:00 - 18:00,請查看網站。,"PerformingArts, Theater, KoreanHistory, Arts, JeongdongTheater, Performance, Culture, TraditionalMusic",https://www.jeongdong.or.kr/portal/main/main.do,,
001278,ENP001278,en,event,Culture > Performance Halls,Seoul Namsan Gugakdang,"Situated in the Namsangol Hanok Village, Seoul Namsan Gugakdang, which opened in 2007, is a traditional Korean music venue on three levels, two of them below ground.","Situated in the Namsangol Hanok Village, Seoul Namsan Gugakdang, which opened in 2007, is a traditional Korean music venue on three levels, two of them below ground. In addition to the 330-seat main auditorium, the venue also features a traditional music experience chamber, a practice room and a food court. The main performance space on the first basement level is the only music venue in Korea equipped with a specially-designed solid wood interior which does not absorb sound, allowing the audience to experience natural unamplified acoustics. The wide repertoire features different recitals every day from a variety of traditional music genres, and the venue also runs free experience programs including a traditional tea tasting event and traditional painting classes. Its location in a hanok (traditional Korean house) makes Seoul Namsan Gugakdang the perfect venue for traditional Korean music, equally suited to both the grandeur of royal court music and to pansori, a genre of traditional Korean music which is performed with the participation of the audience. Since it opened in 2007, Seoul Namsan Gugakdang has hosted a number of traditional Korean events designated as Intangible Cultural Heritages, and the leading figures of traditional Korean music have also performed here. There is also a special program of events for newcomers to traditional Korean music.","28, Toegye-ro 34-gil, Jung-gu, Seoul",37.55837283140702,126.99401515881358,Please refer to the website.,,"SeoulNamsanTraditionalTheater, NamsangolPark, KoreanMusic, NamsanTraditionalTheater, SeoulNamsanTravel, NamsangolHanokVillage, SeoulPerformanceHall, SeoulTraditionalAttractions, KoreanTraditionalMusicHall, SeoulTraditionalPerformance, KoreanTraditionalCulture",https://sgtt.kr/,,
000305,ENP000305,en,event,Culture > Performance Halls,Sejong Center for the Performing Arts,The Sejong Center for the Performing Arts is a multipurpose arts center that is one of the world's best performance venues.,"The Sejong Center for the Performing Arts is a multipurpose arts center that is one of the world's best performance venues. The exterior of the building blends traditional Korean architecture with modern design the building spans six stories tall with three underground floors. The center houses several theaters, the largest being the Grand Theater, art museum, a convention center, a conference hall, and meeting rooms. There is also an outdoor fountain and a lovely garden on the grounds.","175, Sejong-daero, Jongno-gu, Seoul",37.57223505864768,126.97593394434276,Please refer to the website.,Please refer to the website.,"GwanghwamunStation, Exhibition, Arts, Entertainment, SejongCenter, Music, ConventionCenter, ConferenceHall, PerformingArtsCenter, GyeongbokgungStation, PerformanceArt, Theater",http://www.sejongpac.or.kr/eng/main/main.do,,
